station;valid_date;valid_time_new;valid_date_time;tmpf;dwpf;relh;drct;sknt;p01i;alti;mslp;vsby;gust;skyc1;skyc2;skyc3;skyc4;skyl1;skyl2;skyl3;skyl4;wxcodes;ice_accretion_1hr;ice_accretion_3hr;ice_accretion_6hr;peak_wind_gust;peak_wind_drct;peak_wind_time;feel;metar;airport;snowdepth
LGA;01.01.2023;0:15;01.01.2023 00:15;46.00;45.00;96.28;0.00;0.00;0.01;29.83;;0.50;;VV ;;;;300.00;;;;-RA FG;;;;;;;46.00;KLGA 010015Z 00000KT 1/2SM R04/4500VP6000FT -RA FG VV003 08/07 A2983 RMK AO2 P0001 T00780072;LGA;
JFK;01.01.2023;0:51;01.01.2023 00:51;48.00;48.00;100.00;200.00;4.00;0.04;29.83;1010.20;0.25;;BKN;OVC;;;300.00;800.00;;;-RA FG;;;;;;;46.10;KJFK 010051Z 20004KT 1/4SM R04R/3500V5000FT -RA FG BKN003 OVC008 09/09 A2983 RMK AO2 SFC VIS 1/2 SLP102 P0004 T00890089;JFK;
LGA;01.01.2023;0:51;01.01.2023 00:51;46.00;45.00;96.28;70.00;3.00;0.03;29.82;1009.80;0.50;;VV ;;;;300.00;;;;-RA FG;;;;;;;44.69;KLGA 010051Z 07003KT 1/2SM R04/P6000FT -RA FG VV003 08/07 A2982 RMK AO2 SLP098 P0003 T00780072;LGA;
JFK;01.01.2023;1:51;01.01.2023 01:51;49.00;49.00;100.00;190.00;5.00;0.03;29.80;1009.20;0.25;;VV ;;;;300.00;;;;-RA FG;;;;;;;46.47;KJFK 010151Z 19005KT 1/4SM R04R/1800V2200FT -RA FG VV003 09/09 A2980 RMK AO2 SFC VIS 1/2 SLP092 P0003 T00940094;JFK;
LGA;01.01.2023;1:51;01.01.2023 01:51;47.00;45.00;93.06;0.00;0.00;0.04;29.79;1008.60;0.50;;VV ;;;;300.00;;;;-RA FG;;;;;;;46.90;KLGA 010151Z 00000KT 1/2SM R04/P6000FT -RA FG VV003 08/07 A2979 RMK AO2 SLP086 P0004 T00830072;LGA;
JFK;01.01.2023;2:03;01.01.2023 02:03;49.00;49.00;100.00;190.00;6.00;T;29.80;;0.25;;VV ;;;;300.00;;;;RA FG;;;;;;;45.88;KJFK 010203Z 19006KT 1/4SM R04R/2000V3000FT RA FG VV003 09/09 A2980 RMK AO2 P0000 T00940094;JFK;
LGA;01.01.2023;2:38;01.01.2023 02:38;48.00;47.00;95.95;0.00;0.00;0.08;29.79;;2.00;;OVC;;;;400.00;;;;-RA BR;;;;;;;48.00;KLGA 010238Z 00000KT 2SM R04/0700VP6000FT -RA BR OVC004 09/08 A2979 RMK AO2 P0008 T00890083;LGA;
JFK;01.01.2023;2:51;01.01.2023 02:51;49.00;49.00;100.00;230.00;5.00;0.07;29.80;1009.00;0.25;;OVC;;;;300.00;;;;RA FG;;;;;;;46.47;KJFK 010251Z 23005KT 1/4SM R04R/3500V5000FT RA FG OVC003 09/09 A2980 RMK AO2 SFC VIS 1/2 SLP090 P0007 60014 T00940094 56018;JFK;
LGA;01.01.2023;2:51;01.01.2023 02:51;47.00;46.00;96.66;0.00;0.00;0.11;29.79;1008.60;2.00;;OVC;;;;400.00;;;;-RA BR;;;;;;;46.90;KLGA 010251Z 00000KT 2SM R04/4500VP6000FT -RA BR OVC004 08/08 A2979 RMK AO2 SLP086 P0011 60018 T00830078 56017;LGA;
LGA;01.01.2023;3:51;01.01.2023 03:51;54.00;52.00;92.92;240.00;6.00;0.06;29.75;1007.40;8.00;;BKN;OVC;;;400.00;1500.00;;;-RA;;;;;;;54.00;KLGA 010351Z 24006KT 8SM -RA BKN004 OVC015 12/11 A2975 RMK AO2 SLP074 P0006 T01220111;LGA;
JFK;01.01.2023;3:51;01.01.2023 03:51;49.00;49.00;100.00;180.00;7.00;0.07;29.77;1008.00;0.25;;BKN;BKN;OVC;;400.00;4700.00;5500.00;;BR;;;;;;;45.38;KJFK 010351Z 18007KT 1/4SM R04R/2000VP6000FT BR BKN004 BKN047 OVC055 09/09 A2977 RMK AO2 SFC VIS 1 VIS 3/4V1 1/2 RAE42 SLP080 P0007 T00940094;JFK;
JFK;01.01.2023;4:05;01.01.2023 04:05;49.00;49.00;100.00;160.00;7.00;T;29.77;;0.25;;BKN;OVC;;;300.00;7500.00;;;-RA BR;;;;;;;45.38;KJFK 010405Z 16007KT 1/4SM R04R/1800V2200FT -RA BR BKN003 OVC075 09/09 A2977 RMK AO2 SFC VIS 3/4 RAB0354 P0000 T00940094;JFK;
JFK;01.01.2023;4:18;01.01.2023 04:18;49.00;49.00;100.00;240.00;8.00;T;29.79;;0.25;;BKN;OVC;;;400.00;7000.00;;;-RA BR;;;;;;;44.93;KJFK 010418Z 24008KT 1/4SM R04R/2400VP6000FT -RA BR BKN004 OVC070 09/09 A2979 RMK AO2 SFC VIS 1 1/4 RAB0354 P0000 T00940094;JFK;
JFK;01.01.2023;4:51;01.01.2023 04:51;49.00;49.00;100.00;240.00;4.00;0.02;29.76;1007.80;0.25;;OVC;;;;400.00;;;;-RA FG;;;;;;;47.16;KJFK 010451Z 24004KT 1/4SM R04R/1800FT -RA FG OVC004 09/09 A2976 RMK AO2 SFC VIS 1/2 RAB0354 PRESFR SLP078 P0002 T00940094 401060050;JFK;
LGA;01.01.2023;4:51;01.01.2023 04:51;54.00;51.00;89.88;190.00;6.00;T;29.75;1007.30;10.00;;BKN;BKN;OVC;;400.00;3300.00;8000.00;;-RA;;;;;;;54.00;KLGA 010451Z 19006KT 10SM -RA BKN004 BKN033 OVC080 12/11 A2975 RMK AO2 PRESFR SLP073 P0000 T01220106 401280056;LGA;
LGA;01.01.2023;5:19;01.01.2023 05:19;53.00;51.00;92.89;280.00;3.00;T;29.71;;10.00;;SCT;BKN;OVC;;400.00;1700.00;8000.00;;-RA;;;;;;;53.10;KLGA 010519Z 28003KT 10SM -RA SCT004 BKN017 OVC080 12/11 A2971 RMK AO2 P0000 T01170106;LGA;
JFK;01.01.2023;5:51;01.01.2023 05:51;48.00;48.00;100.00;240.00;9.00;T;29.76;1007.60;0.25;;VV ;;;;200.00;;;;FG;;;;;;;43.41;KJFK 010551Z 24009KT 1/4SM R04R/1400FT FG VV002 09/09 A2976 RMK AO2 RAE03B27E37 SLP076 P0000 60023 T00890089 10100 20083 58004;JFK;
LGA;01.01.2023;5:51;01.01.2023 05:51;53.00;50.00;89.18;220.00;6.00;T;29.74;1007.20;10.00;;SCT;BKN;OVC;;400.00;1700.00;8000.00;;-RA;;;;;;;53.10;KLGA 010551Z 22006KT 10SM -RA SCT004 BKN017 OVC080 12/10 A2974 RMK AO2 SLP072 P0000 60024 T01170100 10128 20078 56015;LGA;
LGA;01.01.2023;6:24;01.01.2023 06:24;54.00;50.00;86.29;;3.00;0.02;29.72;;10.00;;FEW;SCT;BKN;;400.00;1500.00;8000.00;;-RA;;;;;;;54.00;KLGA 010624Z VRB03KT 10SM -RA FEW004 SCT015 BKN080 12/10 A2972 RMK AO2 P0002 T01220100;LGA;
JFK;01.01.2023;6:51;01.01.2023 06:51;46.00;46.00;100.00;240.00;8.00;0.00;29.75;1007.30;0.25;;VV ;;;;200.00;;;;FG;;;;;;;41.36;KJFK 010651Z 24008KT 1/4SM R04R/1000V1200FT FG VV002 08/08 A2975 RMK AO2 TWR VIS 1/4 SLP073 T00780078;JFK;
LGA;01.01.2023;6:51;01.01.2023 06:51;54.00;50.00;86.29;250.00;10.00;0.02;29.73;1006.70;10.00;;SCT;BKN;;;1500.00;8000.00;;;-RA;;;;;;;54.00;KLGA 010651Z 25010KT 10SM -RA SCT015 BKN080 12/10 A2973 RMK AO2 SLP067 P0002 T01220100;LGA;
JFK;01.01.2023;7:15;01.01.2023 07:15;46.00;46.00;100.00;250.00;9.00;0.00;29.76;;0.25;;BKN;OVC;;;500.00;1000.00;;;FG;;;;;;;40.92;KJFK 010715Z 25009KT 1/4SM R04R/1400V4500FT FG BKN005 OVC010 08/08 A2976 RMK AO2 SFC VIS 1/2 T00780078;JFK;
JFK;01.01.2023;7:25;01.01.2023 07:25;46.00;46.00;100.00;250.00;9.00;0.00;29.77;;0.75;;VV ;;;;700.00;;;;BR;;;;;;;40.92;KJFK 010725Z 25009KT 3/4SM R04R/1800V2400FT BR VV007 08/08 A2977 RMK AO2 TWR VIS 5 T00780078;JFK;
JFK;01.01.2023;7:29;01.01.2023 07:29;46.00;46.00;100.00;250.00;8.00;0.00;29.77;;1.00;;VV ;;;;800.00;;;;BR;;;;;;;41.36;KJFK 010729Z 25008KT 1SM R04R/1600V2200FT BR VV008 08/08 A2977 RMK AO2 TWR VIS 5 T00780078;JFK;
JFK;01.01.2023;7:39;01.01.2023 07:39;47.00;47.00;100.00;260.00;8.00;0.00;29.77;;2.00;;BKN;;;;800.00;;;;BR;;;;;;;42.47;KJFK 010739Z 26008KT 2SM R04R/1600V2200FT BR BKN008 08/08 A2977 RMK AO2 TWR VIS 5 T00830083;JFK;
JFK;01.01.2023;7:51;01.01.2023 07:51;49.00;49.00;100.00;260.00;11.00;0.00;29.78;1008.30;6.00;;FEW;BKN;BKN;;800.00;8000.00;25000.00;;BR;;;;;;;43.82;KJFK 010751Z 26011KT 6SM R04R/4000VP6000FT BR FEW008 BKN080 BKN250 09/09 A2978 RMK AO2 SLP083 T00940094;JFK;
LGA;01.01.2023;7:51;01.01.2023 07:51;54.00;49.00;82.82;260.00;10.00;T;29.76;1007.70;10.00;;SCT;;;;1500.00;;;;-RA;;;;;;;54.00;KLGA 010751Z 26010KT 10SM -RA SCT015 12/09 A2976 RMK AO2 SLP077 P0000 T01220094;LGA;
JFK;01.01.2023;8:51;01.01.2023 08:51;48.00;48.00;100.00;250.00;10.00;0.00;29.79;1008.60;6.00;;FEW;BKN;;;4500.00;25000.00;;;BR;;;;;;;43.03;KJFK 010851Z COR 25010KT 6SM BR FEW045 BKN250 09/09 A2979 RMK AO2 VIS 2 1/2 W SLP086 T00890089 53010;JFK;
LGA;01.01.2023;8:51;01.01.2023 08:51;54.00;48.00;80.07;270.00;9.00;T;29.77;1008.00;10.00;;FEW;FEW;;;1500.00;25000.00;;;-RA;;;;;;;54.00;KLGA 010851Z 27009KT 10SM -RA FEW015 FEW250 12/09 A2977 RMK AO2 SLP080 P0000 60002 T01220089 53008;LGA;
JFK;01.01.2023;9:51;01.01.2023 09:51;47.00;47.00;100.00;250.00;9.00;0.00;29.80;1009.00;5.00;;SCT;SCT;;;6000.00;25000.00;;;BR;;;;;;;42.04;KJFK 010951Z 25009KT 5SM BR SCT060 SCT250 08/08 A2980 RMK AO2 SLP090 T00830083;JFK;
LGA;01.01.2023;9:51;01.01.2023 09:51;53.00;46.00;76.75;250.00;5.00;T;29.78;1008.40;10.00;;FEW;FEW;;;1500.00;25000.00;;;-RA;;;;;;;53.10;KLGA 010951Z 25005KT 10SM -RA FEW015 FEW250 12/08 A2978 RMK AO2 SLP084 P0000 T01170078;LGA;
LGA;01.01.2023;10:51;01.01.2023 10:51;53.00;45.00;73.89;250.00;10.00;T;29.81;1009.30;10.00;;FEW;FEW;;;1500.00;25000.00;;;;;;;;;;53.10;KLGA 011051Z 25010KT 10SM FEW015 FEW250 12/07 A2981 RMK AO2 RAE36 SLP093 P0000 T01170072;LGA;
JFK;01.01.2023;10:51;01.01.2023 10:51;45.00;45.00;100.00;260.00;10.00;0.00;29.82;1009.90;3.00;;FEW;SCT;SCT;;1100.00;13000.00;25000.00;;BR;;;;;;;39.27;KJFK 011051Z 26010KT 3SM BR FEW011 SCT130 SCT250 07/07 A2982 RMK AO2 SLP099 T00720072;JFK;
LGA;01.01.2023;11:51;01.01.2023 11:51;52.00;45.00;76.94;260.00;8.00;0.00;29.83;1010.30;10.00;;FEW;SCT;;;1500.00;10000.00;;;;;;;;;;52.00;KLGA 011151Z 26008KT 10SM FEW015 SCT100 11/07 A2983 RMK AO2 SLP103 60002 70033 T01110072 10128 20106 53023;LGA;
JFK;01.01.2023;11:51;01.01.2023 11:51;44.00;44.00;100.00;250.00;8.00;0.00;29.84;1010.50;6.00;;FEW;FEW;;;2000.00;25000.00;;;BR;;;;;;;39.02;KJFK 011151Z 25008KT 6SM BR FEW020 FEW250 07/07 A2984 RMK AO2 SLP105 70027 T00670067 10094 20056 53019;JFK;
